CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro (2)/anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Nashville ,Coleman Park,TN,USA,2017-02-01,,3000,3000,3000,3300,2700,Tennessee Immigrant and Refugee Rights Coalition.,Immigration ban,1,demonstration,0,0,0,0,1,1,http://www.newschannel5.com/news/protests-held-on-tn-day-of-action,,,,,,,
Montpelier,Statehouse,VT,USA,2017-02-01,,200,200,200,220,180,general protestors,"end the ""Muslim ban""",1,vigil ,0,0,0,0,1,1,http://www.mynbc5.com/article/hundreds-in-montpelier-attend-vigil-to-support-refugees-muslims/8666269,,,,,,,
Rutland City ,Main Street Park ,VT,USA,2017-02-01,,100,175,250,110,225,general protestors,"end the ""Muslim ban""",1,Vigil and demonstration,0,0,0,0,1,1,http://mountaintimes.info/refugee-supporters-rally-wake/,http://www.mynbc5.com/article/rutland-residents-hold-vigil-for-refugee-resettlement/8650707,,,,,,
Huntington,Huntington City Hall,WV,USA,2017-02-01,,200,200,200,220,180,General Protest,trump's policies,1,demonstration,0,0,0,0,1,1,http://www.wsaz.com/content/news/Crowd-in-Huntington-protests-President-Trumps-immigration-policy-412505933.html,http://www.tristateupdate.com/story/34406603/hundreds-gather-in-huntington-to-protest-trumps-executive-immigration-order,,,,,,
Berkeley,UC Berkeley Campus,CA,USA,2017-02-02,,1500,1500,1500,1650,1350,general protestors,protest Breitbart editor Milo Yiannopoulos,1,demonstration,0,4,0,1,1,1,http://www.nbcnews.com/news/us-news/protests-violence-prompts-uc-berkeley-cancel-milo-yiannopoulos-event-n715711,http://www.berkeleyside.com/2017/02/02/berkeley-police-injuries-extensive-property-damage-no-arrests-no-force-used/,http://www.usatoday.com/story/news/politics/2017/02/01/uc-berkeley-campus-protest-milo-yiannopoulos-breitbart/97378104/,,,,,
Sacramento,Sacramento State campus,CA,USA,2017-02-02,,150,175,200,165,180,students,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://fox40.com/2017/02/02/150-sacramento-state-students-march-in-no-ban-no-wall-protest/,http://statehornet.com/2017/02/hundreds-march-against-trump-travel-ban-at-sac-state/,,,,,,
San Francisco,Uber SF Headquarters,CA,USA,2017-02-02,,50,50,50,55,45,general protestors,protest Uber CEO on Trump advisory council,1,demonstration,0,0,0,0,1,1,http://www.sfweekly.com/news/protest-slams-uber-despite-ceo-dumping-trump/,,,,,,,
Santa Clarita,Republican Rep. Steve Knight's district office in Santa Clarita,CA,USA,2017-02-02,,173,173,173,190.3,155.7,general protestors,appeal to not repeal Obamacare,1,demonstration,0,0,0,0,1,1,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-hundreds-of-democratic-activists-1486074950-htmlstory.html,,,,,,,
Sunnyvale,Comcast,CA,USA,2017-02-02,,,,,,,Comcast employees,Immigration ban,1,rally,0,0,0,0,1,1,http://www.philly.com/philly/blogs/comcast-nation/Comcast-workers-expected-to-protest-Trump-immigrant-ban-today-in-Philadelphia.html,,,,,,,
Washington DC,Comcast,DC,USA,2017-02-02,,100,150,200,110,180,Comcast employees,Immigration ban,1,Protest,0,0,0,0,1,1,http://www.usatoday.com/story/tech/2017/02/02/comcast-employees-stage-anti-trump-immigration-rallies/97415678/,http://www.washingtonexaminer.com/comcast-workers-in-philly-stop-working-to-protest-trumps-immigration-policies/article/2613777,,,,,,
