CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Bakersfield,Central Park,CA,US,2018-01-20,estimated 3000,3000,,3000,,,Women's March Kern County,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/521126934913616/,http://www.bakersfield.com/news/equal-treatment-rights-focus-of-kern-county-women-s-march/article_7750615c-fe47-11e7-a160-83da5f031c83.html,,,,,,
Baltimore,War Memorial Plaza downtown; walk to McKeldin Square at the Inner Harbor,MD,US,2018-01-20,thousands,2000,,2000,,,general protestors,Empower Voters to Support Women's Rights,1,1,rally; march,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-womens-march-20180112-story.html,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-womens-march-20180120-story.html#nt=oft12aH-1la1,,,,,,
Bar Harbor,village green,ME,US,2018-01-20,,,,,,,Indivisible MDI,Empower Voters to Support Women's Rights,1,1,rally,0,0,0,0,1,1,https://actionnetwork.org/events/power-to-the-polls-mdi,https://www.centralmaine.com/2018/01/20/about-2500-march-for-womens-rights-in-augusta/,https://www.mdislander.com/maine-news/womens-march,,,,,
Bay City,city hall,MI,US,2018-01-20,nearly 100,100,,100,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.mlive.com/news/saginaw/index.ssf/2018/01/womens_march_in_bay_city_draws.html,,,,,,,
Beaumont,Betty Smith Creative Arts,TX,US,2018-01-20,Photo: dozens,24,,24,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://actionnetwork.org/events/golden-triangle-womens-march-power-to-the-polls,https://www.beaumontenterprise.com/news/article/Were-you-Seen-at-the-Women-s-March-12512757.php,,,,,,
Beckley,Shoemaker Square,WV,US,2018-01-20,na,75,,75,,,"West Virginia Women’s March, West Virginia Citizen Action Group, Summers County Huddle, Greenbrier Valley Women for Fairness/Indivisible, and Women of the Bluefields",Empower Voters to Support Women's Rights,1,1,Rally,0,0,0,0,1,1,https://actionnetwork.org/events/its-our-time-anniversary-of-the-womens-march,http://www.register-herald.com/news/women-s-march-still-inspiring/article_a3e0ac65-f208-5d97-99e3-f07d1422821c.html,http://www.register-herald.com/news/women-s-march-anniversary-events-set-for-this-weekend/article_c9da4fd0-fbd8-11e7-8034-6b4703d49c80.html,http://www.wvva.com/story/37313618/2018/01/Sunday/women-rally-in-beckley-on-one-year-anniversary-of-womens-march,,,,
Bellingham,downtown,WA,US,2018-01-20,2000 to 2500,2000,,2500,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://komonews.com/news/local/seattle-womens-march-20-underway,http://www.bellinghamherald.com/news/local/article195760234.html,,,,,,
Bemidji,the Sanford Center,MN,US,2018-01-20,FB: 200,200,,200,,,2018 Bemidji Women's March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/319698725187805/,,,,,,,
Bend,Drake Park,OR,US,2018-01-20,nearly as large as 3000; thousands ,2000,,3000,,,Central Oregon Women's March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/175438419728697/,http://www.bendbulletin.com/localstate/5936026-151/bend-joins-in-second-annual-womens-march,http://www.ktvz.com/news/thousands-gather-for-c-oregon-womens-march/688682583,,,,,
Bethel,,AK,US,2018-01-20,,25,,25,,,general protestors,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://www.adn.com/alaska-news/2018/01/20/from-juneau-to-nome-alaskans-brave-the-cold-for-womens-march/,https://www.adn.com/alaska-news/2018/01/20/from-juneau-to-nome-alaskans-brave-the-cold-for-womens-march/,visualized head count,,,,,
