CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1)/Neither(0),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Philadelphia,Independence Mall,PA,USA,2017-03-02,thousands,2000,2000,2000,2200,1800,Jewish Federation of Greater Philadelphia; Stand Against Hate,against anti-Semitism,1,rally,0,0,0,0,1,1,http://www.philly.com/philly/blogs/real-time/Stand-Against-Hate-rally-Jewish-cemetery-vandalism-Mount-Carmel-March-2-2017.html,,,,,,,
Philadelphia,City Hall,PA,USA,2017-03-02,about 300,300,300,300,330,270,"Juntos; Philadelphians Organized to Witness, Empower & Rebuild (POWER); the Black and Brown Workers Collective; Mijente",pro-sanctuary; anti-Trump,1,rally,0,0,0,0,1,1,http://www.philly.com/philly/blogs/real-time/Protesters-Defy-Trump-Defend-Philly-Expand-Sanctuary-City-Hall-Philadelphia-rally-March-2-2017.html,https://twitter.com/JuliaTerruso/status/837382944775864321,,,,,,
Providence,Providence office building,RI,USA,2017-03-02,About 200,200,200,200,220,180,General Protest,vs Paul Ryan,1,Demonstration,0,0,0,0,1,1,http://www.pressherald.com/2017/03/02/about-200-turn-out-to-protest-ryans-providence-appearance/,,,,,,,
Middlebury,McCollough; university,VT,USA,2017-03-02,more than 400,400,400,400,440,360,general protestors,oppose speaker Charles Murray,1,protest,0,1,0,1,1,1,https://www.washingtonpost.com/news/volokh-conspiracy/wp/2017/03/04/protesters-at-middlebury-college-shout-down-speaker-attack-him-and-a-professor/?utm_term=.5867201dc2ee,,,,,,,
Denver,Capitol,CO,USA,2017-03-03,hundreds,200,200,200,220,180,general protestors,Pro Trump,2,rally,0,0,0,0,1,1,http://www.koaa.com/story/34666337/several-hundred-people-attend-march-4-trump-rally-in-denver,,,,,,,
Stamford,Westhill High School,CT,USA,2017-03-03,na,70,70,70,77,63,High Schools ,Education reformation,1,Rally,0,0,0,0,1,1,http://www.stamfordadvocate.com/apple-business/article/Deportation-fear-stirs-student-rally-in-10976019.php,,,,,,,
Palm Beach,Outside 4 seasons,FL,USA,2017-03-03,two dozens ,24,35.7,50,26.4,45,General Protest,Anti Trump,1,demonstration,1,0,0,0,1,1,http://www.palmbeachpost.com/news/local/update-one-arrested-one-detained-trump-protest-palm-beach/eJLyhdbcTvTlz1XyP8proJ/,,,,,,,
Valdosta,Valdosta State University ,GA,USA,2017-03-03,na,12,17.4,24,13.2,21.6,Faculty and Students,Anti Trump policies,1,demonstration,0,0,0,0,1,1,http://www.tribstar.com/cnhi_network/georgia-professors-students-protest-against-campus-carry-bill/article_242afaab-a4cc-5fa8-85cf-30731727e346.html,,,,,,,
Chicago,across river from Trump tower,IL,USA,2017-03-03,about 1000,1000,1000,1000,1100,900,general protestors,support LGBTQ,1,rally,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/breaking/ct-transgender-rights-rally-chicago-photos-20170303-photogallery.html,,,,,,,
Monroe,Lea Joyner Memorial Bridge,LA,USA,2017-03-03,about 60,60,60,60,66,54,Spirit of America,Pro Trump,2,rally,0,0,0,0,1,1,http://www.knoe.com/content/news/Spirit-of-America-rally-shows-support-for-Trump-in-Monroe-415374593.html#comment-3187105795,,,,,,,
Tenafly,Kaplen JCC,NJ,USA,2017-03-03,hundreds,200,200,200,220,180,general protestors,oppose anti-Semitism,1,rally,0,0,0,0,1,1,http://englewood.dailyvoice.com/events/gov-christie-condemns-anti-semitism-at-tenafly-rally/702036/,,,,,,,
Mayville,in front of Webb's,NY,USA,2017-03-03,about 20,20,20,20,22,18,general protestors,"Pro ACA, pro EPA",1,protest,0,0,0,0,1,1,http://chautauquatoday.com/news/details.cfm?clientid=25&id=238261#.WPE6V1PyuCR,,,,,,,
Saratoga Springs ,Outside Spa City Fundraiser,NY,USA,2017-03-03,NA,40,40,40,44,36,General Protest,Affordable Care Act,1,rally,0,0,0,0,1,1,http://poststar.com/news/local/groups-meet-with-stefanik-in-glens-falls-protesters-rally-outside/article_2cca6b2c-e831-5b3c-a914-8a203f2afd34.html,,,,,,,
Memphis,Legislative Plaza,TN,USA,2017-03-03,Hundreds,200,200,200,220,180,General Protest,Pro trump ,2,rally,2,0,0,0,1,1,http://www.wmcactionnews5.com/story/34666409/pro-trump-rally-held-at-legislative-plaza-2-protesters-arrested,,,,,,,
Lexington ,Downtown Lexington,VA,USA,2017-03-03,About 200,200,200,200,220,180,50 Ways-Rockbridge.,Pro Planned Parenthood; Women's rights,1,rally,0,0,0,0,1,1,http://www.newsleader.com/story/news/local/2017/03/03/women-rally-rights-outside-cline-office/98681856/,http://wsls.com/2017/03/03/women-protest-delegate-ben-clines-vote-to-de-fund-planned-parenthood/,,,,,,
Hot Springs ,Downtown,AK,USA,2017-03-04,more than a hundred,100,100,100,110,90,Organizers with the Republican Party of Arkansas,March 4 Trump,2,Rally,0,0,0,0,1,1,http://www.nwahomepage.com/news/more-than-a-hundred-people-gather-for-march-4-trump/667064450,,,,,,,
Phoenix ,State Capitol,AZ,USA,2017-03-04,Several hundred; about 300,200,245,300,220,270,March 4 Trump,Pro trump policies,2,Rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/arizona/articles/2017-03-04/hundreds-attend-pro-trump-rally-at-arizona-state-capitol,http://www.azcentral.com/story/news/local/phoenix/2017/03/03/hundreds-expected-phoenix-pro-trump-rally/98713666/,,,,,,
Tucson,Reid Park,AZ,USA,2017-03-04,na,,,,,,Pima County Tea Party Patriots,,2,,,,,,1,1,https://arizonadailyindependent.com/2017/03/04/rallies-in-support-of-trump-in-phoenix-tucson-today/,,,,,,,
Berkeley ,Martin Luther King Jr. Civic Center Park,CA,USA,2017-03-04,200-300 total ralliers and detractors,,,,,,March 4 Trump; By Any Means Necessary ,for Trump policies,2,rally,10,7,0,0,1,1,http://www.huffingtonpost.com/entry/trump-rally-california-violence_us_58bb647ae4b0d2821b4ea564,,http://www.washingtontimes.com/news/2017/mar/4/pro-trump-supporters-counter-protesters-clash-in-b/,,,,,
Berkeley ,Martin Luther King Jr. Civic Center Park,CA,USA,2017-03-04,200-300 total ralliers and detractors,,,,,,general protestors,against Trump policies,1,counter-protest,,,0,0,0,1,http://www.huffingtonpost.com/entry/trump-rally-california-violence_us_58bb647ae4b0d2821b4ea564,,http://www.washingtontimes.com/news/2017/mar/4/pro-trump-supporters-counter-protesters-clash-in-b/,,,,,
Palm Springs ,Downtown,CA,USA,2017-03-04,about a dozen; dozens,12,17.4,24,13.2,21.6,General protestors,March 4 Trump,2,Rally,0,0,0,0,1,1,http://www.desertsun.com/story/news/politics/2017/03/04/valley-trump-supporters-join-nationwide-march-4-trump/98750792/,http://www.kesq.com/news/supporters-to-gather-for-march-4-trump-rally-in-palm-springs/374385299,,,,,,
Palmdale,Outside townhall,CA,USA,2017-03-04,dozens; nearly 300,24,148.2,300,26.4,270,General protestors; Democratic clubs,Pro-Obamacare,1,protest,0,0,0,0,1,1,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-dozens-of-protestors-gather-outside-1488652427-htmlstory.html,http://ktla.com/2017/03/04/congressman-steve-knight-holds-town-hall-meeting-in-palmdale-amid-obamacare-nationwide-obamacare-discussions/,,,,,,
San Diego,Dog Beach ,CA,USA,2017-03-04,"more than 600; about 1,000",400,670,1000,440,900,General protestors;  Indivisible San Diego,March 4 Impeachment; anti-Trump,1,protest,0,0,0,0,0,1,http://fox5sandiego.com/2017/03/04/trump-supporters-march-in-san-diego/,http://www.sandiegouniontribune.com/news/politics/sd-me-trump-rally-20170303-story.html,http://www.10news.com/news/rallying-cries-to-impeach-and-resist-trump-spelled-out-on-sands-of-ocean-beach,,,,,
San Diego,Downtown; San Diego Bay; Embarcadero Marina Park South,CA,USA,2017-03-04,hundreds; crowd of 150; as many as 500,150,307.5,500,165,450,General protestors,March 4 Trump ,2,rally ,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/politics/sd-me-trump-rally-20170303-story.html,http://www.kpbs.org/news/2017/mar/04/trump-supporters-march-along-san-diegos-embarcader/,,,,,,
Ventura ,"Intersection of Main and Mills. North west corner, park in Wood Ranch parking lot",CA ,USA,2017-03-04,,,,,,,General protestors,March 4 Trump,2,rally,0,0,0,0,1,1,https://www.facebook.com/events/244386362675293/?active_tab=about,https://www.youtube.com/watch?v=wnMfL8fiic8,,,,,,
Ventura ,"Intersection of Main and Mills. North west corner, park in Wood Ranch parking lot",CA ,USA,2017-03-04,,,,,,,General protestors,anti-Trump,1,counter-protest,0,0,0,0,1,0,https://www.facebook.com/events/244386362675293/?active_tab=about,https://www.youtube.com/watch?v=wnMfL8fiic8,,,,,,
Boulder,State Capitol,CO,USA,2017-03-04,,,,,,,,,,,,,,,0,0,"see Denver, CO",,,,,,,
Boulder,State Capitol,CO,USA,2017-03-04,,,,,,,,,,,,,,,0,0,"see Denver, CO",,,,,,,
Denver,State Capitol,CO,USA,2017-03-04,hundreds,200,200,200,220,180,General protestors,March 4 Trump,2,rally,0,0,0,0,1,1,http://www.thedenverchannel.com/news/politics/march-4-trump-rally-brings-dozens-of-supporters-to-colorado-state-capitol,http://www.denverpost.com/2017/03/04/hundreds-rally-outside-capitol-to-show-support-for-president-trump/,http://www.koaa.com/story/34666337/several-hundred-people-attend-march-4-trump-rally-in-denver,,,,,
Denver,State Capitol,CO,USA,2017-03-04,dozens ,24,31.2,40,26.4,36,antifa,anti-Trump,1,rally,1,0,0,0,1,1,http://www.thedenverchannel.com/news/politics/march-4-trump-rally-brings-dozens-of-supporters-to-colorado-state-capitol,http://www.denverpost.com/2017/03/04/hundreds-rally-outside-capitol-to-show-support-for-president-trump/,http://www.koaa.com/story/34666337/several-hundred-people-attend-march-4-trump-rally-in-denver,,,,,
Palm Beach,Mar-a-Lago,FL,USA,2017-03-04,Roughly 100,100,100,100,110,90,Spirit of America ,Pro trump policies,2,rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/florida/articles/2017-03-04/trump-supporters-opponents-rally-near-his-mar-a-lago-estate,,,,,,,
Council Bluffs,West Broadway and 16th Street ,IA,USA,2017-03-04,Close to a hundre,75,86.25,100,82.5,90,Spirit of America ,Pro Trump ,2,Demonstration,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/join-pro-trump-rally-in-the-bluffs-similar-gatherings-held/article_c5a668fd-f7c6-57e8-836b-44669359d185.html,http://www.3newsnow.com/news/local-news/council-bluffs-crowd-rallies-in-support-of-president-donald-trump,,/////,,,,
Davenport,"Warehouse next to Davenport Guns, 3701 Mississippi Ave., Davenport",IA,USA,2017-03-04,Hundreds; More than 200,200,200,200,220,180,Spirit of America; Davenport Guns,Pro Trump,2,Rally,0,0,0,0,1,1,http://qctimes.com/news/local/trump-rally-attracts-support-in-davenport/article_69fc8d0e-4c33-56a0-b27d-aed08fa9f5a9.html,http://www.kwqc.com/content/news/Trump-supporters-gather-in-Davenport-Saturday-415405183.html,,,,,,
Des Moines,Capitol Building,IA,USA,2017-03-04,A few hundred,200,200,200,220,180,Spirit of America ,Pro Trump,2,Rally,0,0,0,0,1,1,http://www.kcci.com/article/march-4-trump-rallies-held-in-iowa/9092487,http://www.desmoinesregister.com/story/news/politics/2017/03/04/trump-supporters-gather-spirit-america-rally/98739128/,,,,,,
Ottumwa,Ottumwa Park,IA,USA,2017-03-04,na,29,29,29,31.9,26.1,Spirit of America ,Pro Trump,2,Rally,0,0,0,0,1,1,https://www.facebook.com/events/692062447631688/?active_tab=about,,http://www.ottumwacourier.com/news/ottumwa-rally-speakers-see-hope-for-future/article_006fdaf8-0169-11e7-bc58-eb7a0705c639.html,,,,,
Papillion,Jerzes Sports Bar near Highway 370,IA,USA,2017-03-04,About 50,24,35.7,50,26.4,45,Spirit of America ,Pro Trump,2,Demonstration ,0,0,0,0,1,1,http://www.ketv.com/article/4-year-old-ohio-girl-literally-blown-away-by-winds/9114468,http://www.omaha.com/news/nebraska/join-pro-trump-rally-in-the-bluffs-similar-gatherings-held/article_c5a668fd-f7c6-57e8-836b-44669359d185.html,,,,,,
Boise,State Capitol,ID,USA,2017-03-04,about 3000; nearly 3000,3000,3000,3000,3300,2700,General protestors,Keep Idaho's public lands under federal management,0,rally,0,0,0,0,1,1,http://www.idahostatejournal.com/news/local/about-gather-at-rally-in-boise-defending-public-lands/article_a73868ed-63cc-5fbc-8ab3-762cd4888f10.html,http://www.ktvb.com/news/local/nearly-3000-rally-for-public-lands-at-idaho-capitol/419826645,,,,,,
Fort Mayne,Allen County Courthouse,IN,USA,2017-03-04,Around 20 ,20,20,20,22,18,March 4 Trump,Pro Trump,2,demonstration,0,0,0,0,1,1,http://wane.com/2017/03/04/supporters-gather-to-march-4-trump-amidst-counter-protest/,,,,,,,
Fort Mayne,Allen County Courthouse,IN,USA,2017-03-04,na,40,40,40,44,36,General Protest,counter protest ,1,demonstration,0,0,0,0,1,1,http://wane.com/2017/03/04/supporters-gather-to-march-4-trump-amidst-counter-protest/,,,,,,,
Indianapolis,Statehouse,IN,USA,2017-03-04,About 30; thirty five to forty,30,34.5,40,33,36,March 4 Trump,pro trump policies,2,demonstration,0,0,0,0,1,1,http://www.news-sentinel.com/news/us-and-world/The-Latest--30-gather-at-pro-Trump-rally-in-Indianapolis,http://www.indystar.com/picture-gallery/news/2017/03/04/march-4-trump-in-indianapolis/98741162/,,,,,,
Overland Park,Interstate 435 and Lamar Avenue,KS,USA,2017-03-04,some 200,200,200,200,220,180,Conservative Party of Kansas,March 4 Trump,2,rally,0,0,0,0,1,1,http://www.kansascity.com/news/politics-government/article136491758.html,,,,,,,
Baton Rouge,Capitol building,LA,USA,2017-03-04,a couple hundred,200,200,200,220,180,General protestors,March 4 Trump,2,rally,0,0,0,0,1,1,http://www.theadvocate.com/baton_rouge/news/politics/article_878b3ba0-0136-11e7-be56-8ba0374fd2e6.html,,,,,,,
Boston,Boston Common,MA,USA,2017-03-04,Hundreds,200,200,200,220,180,Planned Parenthood,Pro Planned Parenthood,1,rally,0,0,0,0,1,1,https://www.boston.com/news/local-news/2017/03/04/hundreds-rally-for-planned-parenthood-on-boston-common,http://boston.cbslocal.com/2017/03/04/planned-parenthood-rally-boston-common-funding-cut-donald-trump/,,,,,,
Augusta ,Statehouse,ME,USA,2017-03-04,More than 100,100,100,100,110,90,Spirit of America ,Pro Trump policies,2,demonstration,0,0,0,0,1,1,http://www.foxnews.com/us/2017/03/05/arrests-made-after-some-march-4-trump-rallies-turn-violent.html?null,http://www.pressherald.com/2017/03/04/more-than-100-attend-march-4-trump-in-augusta/,,,,,,
Grand Rapids,Calder Plaza,MI,USA,2017-03-04,More than 100,100,100,100,110,90,march 4 Trump,Pro Trump ,2,rally,0,0,0,0,1,1,http://www.hollandsentinel.com/news/20170304/dual-protests-boast-support-and-defiance-towards-president-trump,http://startrends.xyz/news/Anti-Trump-protest-held-in-Grand-Rapids,,,,,,
Grand Rapids,Rosa Parks Circle ,MI,USA,2017-03-04,More than 100,100,100,100,110,90,General protest,counter protest ,1,rally,0,0,0,0,1,1,http://www.hollandsentinel.com/news/20170304/dual-protests-boast-support-and-defiance-towards-president-trump,http://startrends.xyz/news/Anti-Trump-protest-held-in-Grand-Rapids,,,,,,
Lansing,State Capitol,MI,USA,2017-03-04,about 200,200,200,200,220,180,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,http://www.reuters.com/article/us-usa-trump-supporters-idUSKBN16B0O8?utm_campaign=trueAnthem:+Trending+Content&utm_content=58bb957704d3011dd2384809&utm_medium=trueAnthem&utm_source=twitter,,,,,,,
Lansing ,State Capitol,MI,USA,2017-03-04,About 100,100,100,100,110,90,general Protest,Counter rally; Anti-Trump,1,rally,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/michigan/2017/03/04/demonstrators-clash-pro-trump-rally-lansing/98740832/,,,,,,,
Sterling Heights,Freedom Hill Park ,MI,USA,2017-03-04,Several Hundreds,200,200,200,220,180,march 4 Trump,Pro Trump ,2,rally,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/2017/03/04/march4trump-macomb-county-donald-trump/98741910/,,,,,,,
Eden Prairie,Eden Prairie Park,MN,USA,2017-03-04,More than 150 people,150,150,150,165,135,India Association of Minnesota,Anti-hate,1,Rally; peace march; vigil ,0,0,0,0,1,1,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,,,,,,,
Minneapolis,Capitol Building,MN,USA,2017-03-04,,,,,,,Spirit of America ,Pro Trump,,Rally,,,,,0,0,See St. Paul,,,,,,,
Minneapolis,Capitol Building,MN,USA,2017-03-04,,,,,,,general protestors,Anti Trump,,counterprotest,,,,,0,0,See St. Paul,,,,,,,
Rochester,U.S. Highway 52,MN,USA,2017-03-04,About 10 people,10,10,10,11,9,Spirit of America ,pro-Trump,2,rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,,,,,,,
Saint Paul ,Capitol Building,MN,USA,2017-03-04,about 400,400,422.5,450,440,405,Spirit of America ,pro-Trump policies,2,rally,0,0,0,0,1,1,http://www.kare11.com/news/local/st-paul-rally-in-support-of-trump-draws-counterprotesters/419795294,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,https://www.mprnews.org/story/2017/03/04/indianamericans-gather-at-an-eden-prairie-park-to-rally-against-hate,,,,,
Saint Paul ,Capitol Building,MN,USA,2017-03-04,,50,50,50,55,45,general protesters,anti-Trump,1,counterprotest,6,1,0,0,1,1,http://www.kare11.com/news/local/st-paul-rally-in-support-of-trump-draws-counterprotesters/419795294,https://www.usnews.com/news/best-states/minnesota/articles/2017-03-04/st-paul-rally-in-support-of-trump-draws-counterprotesters,http://minnesota.cbslocal.com/2017/03/06/trump-protesters-awaiting-charges/,http://www.twincities.com/2017/03/04/5-arrested-after-protesters-disrupt-trump-rally-at-capitol/,,,,
Canton,march to Nissan factory,MS,USA,2017-03-04,thousands,2000,2000,2000,2200,1800,Mississippi Alliance for Fairness at Nissan,pro-union,0,march; rally,0,0,0,0,1,1,http://www.dnj.com/story/money/business/2017/03/06/bernie-sanders-danny-glover-union-workers-better/98801380/,,,,,,,
Matthews,Stumpton Park,NC,USA,2017-03-04,About 100; Hundreds,100,145,200,110,180,Spirit of America ,Pro Trump,2,rally,0,0,0,0,1,1,http://www.wcnc.com/news/local/supporters-hold-rally-in-support-of-president-trump/419818887,http://www.wsoctv.com/news/local/trump-supporters-come-together-hold-rally-after-presidents-controversial-tweets/499605824,,,,,,
Matthews,outside Stumpton Park,NC,USA,2017-03-04,dozens,24,24,24,26.4,21.6,general protesters,anti-Trump,1,counterprotest,0,0,0,0,0,1,http://www.wcnc.com/news/local/supporters-hold-rally-in-support-of-president-trump/419818887,http://www.wsoctv.com/news/local/trump-supporters-come-together-hold-rally-after-presidents-controversial-tweets/499605824,,,,,,
Raleigh,Government Complex,NC,USA,2017-03-04,Several hundreds; hundreds,200,245,300,220,270,March 4 Trump,Pro Trump,2,rally,0,0,0,0,1,1,http://myfox8.com/2017/03/04/hundreds-gather-at-nc-rally-to-support-president-trump/,http://wncn.com/2017/03/04/hundreds-rally-to-support-president-trump-in-raleigh/,,,,,,
Middletown, intersection on Rt. 35 ,NJ,USA,2017-03-04,About 150,150,150,150,165,135,General Protest ,Pro Trump policies,2,rally,0,0,0,0,1,1,http://www.nj.com/monmouth/index.ssf/2017/03/usa_usa_pro-trump_rally_chants_as_horns_blare_at_n.html,,,,,,,
Alamogordo,10th Street and White Sands Boulevard,NM,USA,2017-03-04,na,,,,,,Republican Party of Otero County,March 4 Trump,2,rally,0,0,0,0,1,1,http://www.alamogordonews.com/story/news/local/2017/03/04/otero-county-republican-party-rallies-support-trump/98747734/,,,,,,,
Albuquerque,North Domingo Baca Park,NM,USA,2017-03-04,66 went,66,66,66,72.6,59.4,Main Street Patriots,March 4 Trump,2,rally; protest,0,0,0,0,1,1,http://krqe.com/2017/03/04/group-gathers-in-northeast-albuquerque-to-show-support-for-president-trump/,https://www.facebook.com/events/1280142308731804/,,,,,,
Farmington,Farmington Museum at Gateway Park,NM,USA,2017-03-04,dozens; between 85 and 90,85,87.25,90,93.5,81,organizer Steve Clark; general protestors,Pro immigration,1,demonstration,0,0,0,0,1,1,http://www.daily-times.com/story/news/local/farmington/2017/03/04/pro-immigrant-rally-draws-dozens-participants/98747704/,,,,,,,
Las Vegas,Trump International Building,NV,USA,2017-03-04,suggested 200 ,200,200,200,220,180,General protestors,March 4 Trump ,2,rally,0,0,0,0,1,1,http://www.reviewjournal.com/news/politics-and-government/nevada/pro-trump-demonstrators-rally-outside-las-vegas-hotel,http://news3lv.com/news/local/about-200-march-for-and-against-president-trump-in-las-vegas,,,,,,
Las Vegas,,NV,USA,2017-03-04,,,,,,,,counter-protestors,1,,,,,,0,1,http://www.reviewjournal.com/news/politics-and-government/nevada/pro-trump-demonstrators-rally-outside-las-vegas-hotel,,,,,,,
Reno,Downtown,NV,USA,2017-03-04,people; 58 went,10,31.6,58,11,52.2,General protestors ,March 4 Trump,2,rally; protest,0,0,0,0,1,1,http://www.ktvn.com/story/34666968/pro-trump-and-anti-trump-rallies-both-gather-in-downtown-reno,https://www.facebook.com/events/1280270022019650/permalink/1290127794367206/,,,,,,
Reno,,NV,USA,2017-03-04,,,,,,,,counter-protestors,1,,,,,,0,1,http://www.ktvn.com/story/34666968/pro-trump-and-anti-trump-rallies-both-gather-in-downtown-reno,,,,,,,
Kingston,Broadway,NY,USA,2017-03-04,,500,500,500,550,450,,Education Reformation,0,demonstration,0,0,0,0,1,1,http://www.midhudsonnews.com/News/2017/March/05/Kings_ed_aid_rally-05Mar17.htm,,,,,,,
New York,midtown Manhattan,NY,USA,2017-03-04,More than a thousand,1000,1045,1100,1100,990,People’s March for Education Justice ,Education Reformation,0,rally,0,0,0,0,1,1,http://pix11.com/2017/03/04/peoples-march-for-education-justice-heads-to-cuomos-nyc-office/,,,,,,,
Schenectady ,Along State Street ,NY,USA,2017-03-04,"About 100, About 150",100,122.5,150,110,135,March for Education Justice,Education and prison Reform,0,march,0,0,0,0,1,1,http://blog.timesunion.com/capitol/archives/272778/local-rally-part-of-push-for-education-prison-reforms/,,,,,,,
Wyandach,,NY,USA,2017-03-04,na,100,100,100,110,90,Alliance for Quality Education,Education Reformation,0,march,0,0,0,0,1,1,http://www.newsday.com/long-island/education/li-rallies-call-for-protecting-public-school-funding-1.13209890,,,,,,,
Columbus,Ohio Statehouse,OH,USA,2017-03-04,Groups of hundreds ,200,200,200,220,180,March 4 Trump,Pro Trump,2,demonstrations,0,0,0,0,1,1,http://www.cbsnews.com/news/trump-supporters-opponents-clash-outside-ohio-statehouse-on-day-of-protests/,http://www.dispatch.com/news/20170304/protesters-disrupt-pro-trump-rally-outside-statehouse,,,,,,
Springfield ,Interstate 41,OH,USA,2017-03-04,Dozens; more than a dozen,24,40.2,60,26.4,54,General Protest,Pro Trump ,2,demonstrations,0,0,0,0,1,1,http://www.mydaytondailynews.com/news/local-govt--politics/pro-trump-supporters-gather-for-rally-springfield/CpnHMM9ro3TGOdUoAfp4CJ/,http://wdtn.com/2017/03/04/trump-supporters-rally-in-springfield/,,,,,,
