CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Georgetown,Government offices,DE,US,2018-01-03,dozens,24,,24,,,Local labor union members,Protesting right to work lower wages,0,,protest,0,0,0,0,1,1,http://dailysignal.com/2018/01/03/delaware-county-stalls-right-to-work-vote-as-unions-protest/,,,,,,,
Indiannapolis,Statehouse,IN,US,2018-01-03,,,,,,,general protestors,Rallying in support of medical marijuana,1,,rally,0,0,0,0,1,1,https://www.wthr.com/article/supporters-of-medical-marijuana-rally-at-the-statehouse,,,,,,,
Iowa Park,Allred Unit,TX,US,2018-01-03,na,37,,37,,,Inmates,Protesting for better conditions and food quality,0,,hunger strike,0,0,0,0,1,1,http://www.newschannel6now.com/story/37185009/37-allred-inmates-refusing-meals-due-to-conditions-at-prison,,,,,,,
Los Angeles,,CA,US,2018-01-03,,,,,,,general protestors,Protesting in support of January Iranian protests,0,,protest,0,0,0,0,1,1,https://www.reuters.com/article/us-iran-rallies-los-angeles/los-angeles-large-iranian-community-cheers-anti-regime-protests-idUSKBN1ET0BN,,,,,,,
New York,Times Square,NY,US,2018-01-03,FB: 48,48,,48,,,Rise and Resist,Protesting any attempts by Trump to interefere in Russia investigation,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/765193630355760/,,,,,,,
Providence,Statehouse,RI,US,2018-01-03,,,,,,,Rhode Island Interfaith Coalition,Rallying against poverty,0,,rally,0,0,0,0,1,1,http://www.providencejournal.com/news/20180103/interfaith-vigil-at-ri-state-house-puts-focus-on-helping-poor,,,,,,,
San Francisco,Twitter HQ,CA,US,2018-01-03,,,,,,,Resistance SF,Protesting Twitter CEO's pro-Trump comments,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/328953757620474/,,,,,,,
San Francisco,U.S. Sen. Feinstein's office,CA,US,2018-01-03,photo: dozens,24,,24,,,general protestors,Protesting Trump's decisiont to end DACA; rallying for Dreamers,1,,rally,0,0,0,0,0,1,https://theblast.com/alyssa-milano-protests-dream-act/,,,,,,,
St. Louis,State Capitol,MO,US,2018-01-03,NA,1,,1,,,Rep. Bruce Franks Jr.,Protesting racial inequality,1,,protest,0,0,0,0,1,1,http://dailycaller.com/2018/01/03/democratic-lawmaker-protests-during-pledge-of-allegiance/,,,,,,,
Albany,CSX ,NY,US,2018-01-03,dozens,24,,24,,,Fired employees,Protesting firiing for using sick days over holiday,0,,protest,0,0,0,0,1,1,http://wnyt.com/news/csx-employees-job-loss-sick-leave-protest/4730395/,,,,,,,
Charlotte,Romare Bearden Park to Mecklenberg County Courthouse,NC,US,2018-01-04,about three dozen; dozens,24,,36,,,general protestors,Protesting political gerrymandering,0,,protest,0,0,0,0,1,1,http://wfae.org/post/silent-marchers-protest-plan-they-call-judicial-gerrymandering,http://www.independenttribune.com/news/local-group-hopes-march-against-gerrymandering/article_caca8a00-f7db-11e7-8c37-afd0d7473b57.html,,,,,,
Columbus,,GA,US,2018-01-04,,,,,,,general protestors,Protesting police excessive use of force in shooting of local man,0,,protest,0,0,0,0,1,1,http://www.wtvm.com/story/37196418/candlelight-vigil-held-for-columbus-man-killed-in-trooper-involved-shooting,,,,,,,
Frankfort,Capitol Ave.,KY,US,2018-01-04,FB: 216,216,,216,,,"ACLU of Kentucky, Planned Parenthood Advocates, the Kentucky Health Justice Network",Pro- Reproductive Rights Rally,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1227293130748169/,,,,,,,
Los Angeles,Hall of Justice,CA,US,2018-01-04,FB: 69,69,,69,,,White People 4 Black Lives,Protesting police brutality,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2000584226929458/,,,,,,,
New York,Grand Central,NY,US,2018-01-04,Photo: dozens; FB: 14,14,,24,,,Rise and Resist,Protesting Trump administration,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/142470249786724/,https://twitter.com/MarchForTruth17/status/948953929794146305,,,,,,
Phoenix,24th St.,AZ,US,2018-01-04,several dozen,24,,24,,,general protestors,Protest in solidarity with Iranian protestors,0,,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2018/01/04/dozens-gather-central-phoenix-support-iranian-protesters/1006236001/,,,,,,,
Santa Fe,Interstate 25,NM,US,2018-01-04,NA,15,,15,,,Sante Fe Gateway Alliance,Protesting proposed new truck stop,0,,protest,0,0,0,0,1,1,http://www.santafenewmexican.com/news/local_news/truck-stop-opponents-try-to-stand-strong-against-a-giant/article_1af05867-728c-5594-a3e6-01f6a5d6da0a.html,,,,,,,
New Orleans,,LA,US,2018-01-05,,,,,,,general protestors,Rallying for better job opportunities for the homeless,0,,rally,0,0,0,0,1,1,https://kadn.com/homeless-rally-for-jobs/,,,,,,,
Newtown,Lanhorne Newtown Rd.,PA,US,2018-01-05,FB: 4,4,,4,,,Fridayswithfitzpatrick,"Protesting current adminstration, ect",1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/201759280389041/,,,,,,,
New York,Trump Tower,NY,US,2018-01-05,FB: 11,11,,11,,,Learn as Protest,Protesting Trump  ,1,,protest ,0,0,0,0,1,1,https://www.facebook.com/events/390220108093644/,,,,,,,
New York,Grand Central Terminal,NY,US,2018-01-05, FB: 439,439,,439,,,"International Action Center, General Protestors",Rallying to Free Ahed Tamimi and All Palestinian Prisoners,1,,rally,0,0,0,0,0,1,https://www.facebook.com/events/1683011105090755/,,,,,,,
New York,Grand Central Terminal,NY,US,2018-01-05,na,5,,5,,,Jewish Defense League ,anti-Tamimi counter-protest; pro-Trump,2,,protest,0,0,0,0,0,1,Facebook ,,,,,,,
Portland,Sen. Merkley's Office,OR,US,2018-01-05,,,,,,,general protestors,Rally for Children's Health Insurance Program,1,,rally,0,0,0,0,1,1,https://twitter.com/Indivisible_OR/status/948785522121428992,,,,,,,
San Francisco,Federal building,CA,US,2018-01-05,FB: 25,25,,25,,,Bay Resistance,Rallying in support of the TPS,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1590686017657674/,,,,,,,
West Chester,Offices of Rep. Ryan Costello,PA,US,2018-01-05,FB: 3,3,,3,,,Concered Constituent Action Group,Rally for DACA; opposition to US-Mexico border wall,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/904484379727099/,,,,,,,
Cleveland,Around Browns' Stadium,OH,US,2018-01-06,estimated 3200,3200,,3200,,,general protestors,Protesting Browns' 0-16 season,0,,protest,0,0,0,0,1,1,https://www.usatoday.com/story/sports/nfl/2018/01/06/thousands-of-browns-fans-protest-0-16-season-at-cold-parade/109209400/,,,,,,,
Dearborn,Federal Plaza,IL,US,2018-01-06,FB: 391,391,,391,,,Refuse Fascism ,Protesting Trump's attacks on public land,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/363507580764269/,,,,,,,
Doral,U.S. Sen. Ruboi's office,CA,US,2018-01-06,FB: 11,11,,11,,,SEIU Florida,Protesting Rubio,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/140157820015396/,,,,,,,
Memphis,Interstate 290,TN,US,2018-01-06,more than 50,50,,50,,,Confederate 901,Protesting removal and opposition to confederate monuments,2,,protest,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/government/city/2018/01/06/memphis-confederate-statue-protest-removal/1004853001/,,,,,,,
Memphis,Health Sciences Park,TN,US,2018-01-06,about a dozen,12,,12,,,Memphis and the Sons of Confederate Veterans,Protesting removal and opposition to confederate monuments,2,,protest,0,0,0,0,0,1,http://www.commercialappeal.com/story/news/government/city/2018/01/03/sons-confederate-veterans-disavows-stupid-memphis-rally/1000216001/,http://www.commercialappeal.com/story/news/government/city/2018/01/06/memphis-confederate-statue-protest-removal/1004853001/,,,,,,
Phoenix,State Capitol,AZ,US,2018-01-06,thousands,2000,,2000,,,general protestors,Rallying for better public school funding,0,,march,0,0,0,0,1,1,https://www.usnews.com/news/best-states/arizona/articles/2018-01-06/public-school-supporters-attend-rally-at-arizona-capitol,https://www.azcentral.com/story/news/local/phoenix/2018/01/06/thousands-march-call-ducey-and-republican-lawmakers-fully-fund-public-schools/1010001001/,,,,,,
Portland,Portland Public Library,ME,US,2018-01-06,30 or so,30,,30,,,"general protestors, Burundian community residing in Maine","Protesting the presence of Willy Nayamitwe, spokesman for Burundian President",0,,protest,0,0,0,0,1,1,http://www.pressherald.com/2018/01/06/in-portland-burundian-immigrants-protest-presidential-advisers-visit/,,,,,,,
Raleigh,Halifax Mall,NC,US,2018-01-06,FB: 233,233,,233,,,general protestors,Protesting large class sizes,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/456864611381620/,http://www.newsobserver.com/news/local/article193385289.html,http://abc11.com/education/save-our-schools-rally-against-class-size-mandate-/2873863/,,,,,
Robinson,Courtyard Marriot,PA,US,2018-01-06,NA,40,,40,,,coalition of Pittsburgh-area human and worker rights organization,Protesting for the rights of immigrant workers who were underpaid; labor protest,0,,protest,0,0,0,0,1,1,http://www.post-gazette.com/local/region/2018/01/06/Protesters-in-Robinson-say-hotel-renovation-wage-theft-case-just-one-of-many/stories/201801060108,,,,,,,
San Francisco,Alabama St.,CA,US,2018-01-06,FB: 55,55,,55,,,SF Right to Protest Coalition,Protesting evictions,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1741737492801067/,,,,,,,
