Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
La Alianza,Protesting Trump's DACA decision,1,75.0,2017-09-05,216,Cleveland,OH
general protestors,Protesting Trump's decision to end DACA,1,450.0,2017-09-05,216,Columbus,OH
Indivisble Ohio District 15,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Columbus,OH
Michigan United; One Michigan,Protesting Trump's decision to end DACA,1,24.0,2017-09-05,216,Detroit,MI
general protestors,Rally for DACA,1,200.0,2017-09-05,216,Denver,CO
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-05,216,Durham,NC
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-05,216,Escondido,CA
general protestors,Protesting Trump's DACA decision,1,30.0,2017-09-05,216,Fort Worth,TX
general protestors,Protesting Trump's decision to end DACA,1,45.0,2017-09-05,216,Fresno,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Grand Rapids,MI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Irvine,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Kalamazoo,MI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Kansas City,MO
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Law Cruces,NM
Everett Resistance Movement,Protesting Trump's decision to end DACA,1,60.0,2017-09-05,216,Lynwood,WA
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-05,216,Mount Vernon,WA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Minneapolis,MN
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Nashville,TN
Yale Women's Center,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,New Haven,CT
general protestors,Protesting Trump's DACA decision,1,350.0,2017-09-05,216,New York,NY
general protestors,Rally for DACA,1,400.0,2017-09-05,216,New York,NY
general protestors,Protesting Trump's DACA decision,1,2000.0,2017-09-05,216,New York,NY
general protestors,Protesting Trump's DACA decision,1,2000.0,2017-09-05,216,New York,NY
NYU Dream Team; NYU Sanctuary; NYU Pacific American Coalition ,Protesting Trump's DACA decision,1,70.0,2017-09-05,216,New York ,NY
Students and faculty,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Normal,IL
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Oberlin,OH
Voces de la Frontera,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Racine,WI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Raleigh,NC
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Sacramento,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,San Antonio,TX
general protestors,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,San Diego,CA
general protestors,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,San Francisco,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,San Jose,CA
Future Leaders of America,Protesting Trump's DACA decision,1,20.0,2017-09-05,216,Santa Maria,CA
MEChA,Protesting Trump's decision to end DACA,1,24.0,2017-09-05,216,Silver City,NM
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Sioux Falls,SD
general protestors,Protesting Trump's DACA decision,1,50.0,2017-09-05,216,St. Cloud,MN
general protestors,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Syracuse,NY
Students,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Tucson,AZ
Students,Protesting Trump's DACA decision,1,24.0,2017-09-05,216,Willimantic,CT
general protestors,Rally for DACA,1,200.0,2017-09-05,216,Washington,DC
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-05,216,Yakima,WA
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-06,217,Bellefonte,PA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Fort Worth,TX
general protestors,Protesting Trump's decision to end DACA,1,30.0,2017-09-06,217,Lawrence,MA
Young People's Resistance Committee,Protesting Trump's decision to end DACA,1,2000.0,2017-09-06,217,Milwaukee,WI
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Mishawaka,IN
general protestors,Protesting Trump's DACA decision; demanding action from Senator,1,100.0,2017-09-06,217,Mt. Lebanon,PA
Napa Valley Dream Team,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Napa,CA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Newark,NJ
general protestors,Protesting Trump's decision to end DACA,1,24.0,2017-09-06,217,New Orleans,LA
Political Latinxs United for Movement and Action in Society at VCU,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Richmond,VA
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-06,217,Springfield,PA
general protestors,Protesting Trump's decision to end DACA,1,600.0,2017-09-06,217,Tucson,AZ
general protestors,Protesting Trump's decision to end DACA,1,10.0,2017-09-06,217,Walnut Creek ,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Watsonville,CA
general protestors,Protesting Trump's decision to end DACA,1,30.0,2017-09-06,217,Williamsport,PA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Cleveland,OH
Students: general protestors ,Protesting Trump's decision to end DACA,1,293.5,2017-09-07,218,Greeley ,CO
general protestors,Protesting Trump's decision to end DACA,1,530.0,2017-09-07,218,Hayward,CA
